,0,1,2,3,4,5,6,7,8,9,10,11
assignment3/data/midi/bach/gold/var24c8.mid,0.067,0.026,0.165,0.018,0.087,0.0,0.107,0.166,0.004,0.176,0.001,0.182
assignment3/data/midi/bach/gold/var25.mid,0.087,0.046,0.135,0.074,0.043,0.081,0.072,0.151,0.044,0.107,0.125,0.034
assignment3/data/midi/bach/gold/var26.mid,0.085,0.042,0.134,0.028,0.124,0.015,0.114,0.172,0.003,0.155,0.002,0.127
assignment3/data/midi/bach/gold/var27c9.mid,0.08,0.026,0.148,0.014,0.135,0.01,0.126,0.191,0.008,0.156,0.004,0.101
assignment3/data/midi/bach/gold/var28.mid,0.093,0.035,0.132,0.024,0.123,0.013,0.116,0.165,0.004,0.144,0.0,0.15
assignment3/data/midi/bach/gold/var29.mid,0.087,0.016,0.165,0.015,0.121,0.002,0.103,0.201,0.0,0.146,0.002,0.142
assignment3/data/midi/bach/gold/var30.mid,0.08,0.021,0.139,0.015,0.14,0.003,0.12,0.196,0.0,0.147,0.0,0.137
assignment3/data/midi/bach/gold/var3c1.mid,0.109,0.0,0.081,0.045,0.139,0.01,0.088,0.189,0.0,0.187,0.0,0.151
assignment3/data/midi/bach/gold/var4.mid,0.11,0.03,0.151,0.009,0.118,0.0,0.131,0.187,0.0,0.124,0.0,0.139
assignment3/data/midi/bach/gold/var5.mid,0.061,0.032,0.164,0.008,0.154,0.002,0.128,0.186,0.0,0.127,0.0,0.136
assignment3/data/midi/bach/gold/var6c2.mid,0.088,0.036,0.124,0.015,0.131,0.0,0.122,0.152,0.015,0.173,0.015,0.129
assignment3/data/midi/bach/gold/var7.mid,0.081,0.038,0.173,0.014,0.117,0.005,0.103,0.178,0.007,0.125,0.0,0.159
assignment3/data/midi/bach/gold/var8.mid,0.089,0.04,0.153,0.02,0.131,0.012,0.121,0.151,0.006,0.145,0.003,0.128
assignment3/data/midi/bach/gold/var9c3.mid,0.074,0.032,0.167,0.017,0.143,0.016,0.102,0.192,0.004,0.12,0.001,0.132
assignment3/data/midi/bach/invent/invent1.mid,0.194,0.008,0.14,0.0,0.15,0.096,0.028,0.151,0.011,0.106,0.014,0.102
assignment3/data/midi/bach/invent/invent10.mid,0.116,0.03,0.19,0.0,0.085,0.005,0.126,0.17,0.0,0.133,0.0,0.145
assignment3/data/midi/bach/invent/invent11.mid,0.105,0.018,0.162,0.072,0.059,0.11,0.031,0.185,0.013,0.122,0.093,0.03
assignment3/data/midi/bach/invent/invent12.mid,0.009,0.133,0.105,0.048,0.148,0.012,0.126,0.018,0.112,0.161,0.005,0.124
